pair,timestamp,score,gross_r,net_r,exit_reason
USD/JPY,2019-04-09T12:30:00+00:00,67.98,-0.1072,-0.1144,time_exit
AUD/USD,2019-04-09T13:15:00+00:00,66.75,-1.0,-1.1263,stop_loss
USD/CAD,2019-04-09T14:30:00+00:00,65.44,-1.0,-1.0892,stop_loss
GBP/USD,2019-04-09T15:45:00+00:00,67.73,0.0878,0.0416,time_exit
EUR/USD,2019-04-09T18:45:00+00:00,71.59,-1.0,-1.0415,stop_loss
EUR/USD,2019-04-10T06:15:00+00:00,68.65,1.5,1.4552,take_profit
USD/CHF,2019-04-10T07:45:00+00:00,65.23,-1.0,-1.087,stop_loss
USD/JPY,2019-04-10T11:15:00+00:00,68.48,-1.0,-1.0456,stop_loss
EUR/USD,2019-04-10T11:45:00+00:00,77.25,-1.0,-1.0124,stop_loss
USD/CHF,2019-04-10T12:45:00+00:00,69.11,0.716,0.6465,time_exit
USD/JPY,2019-04-10T12:45:00+00:00,71.29,1.5,1.4732,take_profit
USD/JPY,2019-04-10T13:45:00+00:00,75.39,0.5117,0.5028,time_exit
AUD/USD,2019-04-10T15:15:00+00:00,72.03,0.6138,0.578,time_exit
EUR/USD,2019-04-10T15:45:00+00:00,66.25,0.2924,0.2872,time_exit
USD/CAD,2019-04-10T16:00:00+00:00,70.54,-0.1166,-0.1478,time_exit
GBP/USD,2019-04-10T16:45:00+00:00,70.95,-0.3304,-0.3487,time_exit
USD/JPY,2019-04-10T23:00:00+00:00,71.64,-1.0,-1.0435,stop_loss
EUR/USD,2019-04-11T01:00:00+00:00,72.18,0.0991,0.0551,time_exit
USD/JPY,2019-04-11T01:15:00+00:00,69.09,-1.0,-1.0329,stop_loss
USD/JPY,2019-04-11T07:45:00+00:00,68.46,-1.0,-1.0459,stop_loss
EUR/USD,2019-04-11T10:30:00+00:00,70.43,-1.0,-1.0583,stop_loss
USD/JPY,2019-04-11T11:15:00+00:00,68.52,-1.0,-1.04,stop_loss
